漢字,漢字　県名入,ひらがな,English,標高,都道府県,エリア,緯度,経度,近くの町,,,,,
有珠山,有珠山　　北海道,うすざん,Usuzan,733 ,北海道,北海道,42.538144,140.8317694,壮瞥町,,,,,
遊楽部岳,遊楽部岳　　北海道,ゆうらっぷだけ,Yuurappudake,1277 ,北海道,北海道,42.2187305,140.0101489,八雲町,,,,,
ペンケヌーシ岳,ペンケヌーシ岳　　北海道,ぺんけぬーしだけ,Penkenushidake,1750 ,北海道,北海道,42.8921558,142.6797164,日高町,,,,,
阿寒富士,阿寒富士　　北海道,あかんふじ,Akanfuji,1476 ,北海道,北海道,43.3740404,144.0064883,白糠町,,,,,
石北峠,石北峠　　北海道,せきほくとうげ,Sekihokutouge,1050 ,北海道,北海道,43.7521713,143.3134449,北見市,,,,,
中山峠,中山峠　　北海道,なかやまとうげ,Nakayamatouge,835 ,北海道,北海道,42.8558026,141.0966627,喜茂別,,,,,
恵山,恵山　　北海道,えさん,Esan,618 ,北海道,北海道,41.8047569,141.1662239,函館市,,,,,
ピンネシリ,ピンネシリ　　北海道,ぴんねしり,Pinneshiri,1100 ,北海道,北海道,43.4917064,141.7066256,新十津川町,,,,,
芽室岳,芽室岳　　北海道,めむろだけ,Memurodake,1754 ,北海道,北海道,42.8688434,142.7853815,清水町,,,,,
海別岳,海別岳　　北海道,うなべつだけ,Unabetsudake,1419 ,北海道,北海道,43.8767341,144.8764545,斜里町,,,,,
音威富士,音威富士　　北海道,おといふじ,Otoifuji,489 ,北海道,北海道,44.7367698,142.2937243,音威子府村,,,,,
群別岳,群別岳　　北海道,くんべつだけ,Kunbetsudake,1376 ,北海道,北海道,43.6847433,141.4877383,石狩市,,,,,
神居尻山,神居尻山　　北海道,かむいしりやま,Kamuishiriyama,947 ,北海道,北海道,43.5005098,141.6624675,当別町,,,,,
ルクシ峠,ルクシ峠　　北海道,るくしとうげ,Rukushitouge,239 ,北海道,北海道,43.96877925,143.74121442,佐呂間町,,,,,
佐幌岳,佐幌岳　　北海道,さほろだけ,Sahorodake,1060 ,北海道,北海道,43.1736624,142.7799583,新得町,,,,,
平山,平山　　北海道,ひらやま,Hirayama,1771 ,北海道,北海道,43.760316,143.0076646,遠軽町,,,,,
札内岳,札内岳　　北海道,さつないだけ,Satunaidake,1896 ,北海道,北海道,42.6937351,142.7967108,中札内村,,,,,
コイカクシュサツナイ岳,コイカクシュサツナイ岳　　北海道,こいかくしゅさつないだけ,Koikakusyusatsunaidake,1721 ,北海道,北海道,42.5705031,142.8249976,新ひだか町,,,,,
礼文岳,礼文岳　　北海道,れぶんだけ,Rebundake,490 ,北海道,北海道,45.3724149,141.0156699,礼文町,,,,,
田代平,田代平　　青森県,たしろたい,Tasirotai,613 ,青森県,東北,40.0845998,141.1293389,青森市,,,,,
奥入瀬,奥入瀬　　青森県,おいらせ,Oirase,88 ,青森県,東北,40.519818,140.9706503,十和田市,,,,,
恐山,恐山　　青森県,おそれざん,Osorezan,227 ,青森県,東北,41.308333,141.088056,むつ市,,,,,
高田大岳,高田大岳　　青森県,たかだおおだけ,Takadaoodake,1552 ,青森県,東北,40.6528406,140.9083273,十和田市,,,,,
岩木山,岩木山　　青森県,いわきさん,Iwakisan,1625 ,青森県,東北,40.6559743,140.3030913,弘前市,,,,,
八甲田山,八甲田山　　青森県,はっこうださん,Hakkoudasan,1584 ,青森県,東北,40.6563169,140.8936755,青森市,,,,,
白神岳,白神岳　　青森県,しらかみだけ,Shiragamidake,1235 ,青森県,東北,40.5036635,140.0186827,深浦町,,,,,
三ツ岳,三ツ岳　　青森県,みつだけ,Mitsudake,1159 ,青森県,東北,40.4529315,141.0014784,新郷村,,,,,
十和田山,十和田山　　青森県,とわだやま,Towadayama,1054 ,青森県,東北,40.4632745,140.970726,十和田市,,,,,
八幡平,八幡平　岩手県,はちまんたい,Hachimantai,1614 ,岩手県,東北,39.957778,140.854167,八幡平市,,,,,
安比高原,安比高原　　岩手県,あっぴこうげん,Appikougen,837 ,岩手県,東北,39.993995,140.93844,八幡平市,,,,,
雫石,雫石　　岩手県,しずくいし,Shizukuishi,306 ,岩手県,東北,39.7020178,140.9184786,雫石町,,,,,
早池峰山,早池峰山　　岩手県,はやちねさん,Haychinesan,1914 ,岩手県,東北,39.5582869,141.4889072,宮古市,,,,,
平庭高原,平庭高原　　岩手県,ひらにわこうげん,Hiraniakougen,808 ,岩手県,東北,40.0854684,141.5059813,久慈市,,,,,
岩手山,岩手山　　岩手県,いわてさん,Iwatesan,2038 ,岩手県,東北,39.8533312,141.0008333,滝沢市,,,,,
折爪岳,折爪岳　　岩手県,おりつめだけ,Oritsumedake,852 ,岩手県,東北,40.2685905,141.3744293,九戸村,,,,,
和賀岳,和賀岳　　岩手県,わがだけ,Wagadake,1440 ,岩手県,東北,39.570461,140.7541631,西和賀町,,,,,
姫神山,姫神山　　岩手県,ひめかみさん,Himekamisan,1124 ,岩手県,東北,39.8440689,141.2469091,盛岡市,,,,,
七時雨山,七時雨山　　岩手県,ななしぐれやま,Nanashigureyama,1060 ,岩手県,東北,40.0692489,141.1056082,八幡平市,,,,,
鞍掛山,鞍掛山　　岩手県,くらかけやま,Kurakakeyama,897 ,岩手県,東北,39.8210544,141.0230774,滝沢市,,,,,
兜明神岳,兜明神岳　　岩手県,かぶとみようじんだけ,Kabutomiyoujindake,1005 ,岩手県,東北,39.6561676,141.3695212,宮古市,,,,,
五葉山,五葉山　　岩手県,ごようざん,Goyouzan,1351 ,岩手県,東北,39.2033312,141.7275,釜石市,,,,,
焼石岳,焼石岳　　岩手県,やけいしだけ,Yakeishidake,1548 ,岩手県,東北,39.1637405,140.8285815,釜石市,,,,,
三ツ石山,三ツ石山　　岩手県,みついしさん,Mitsuishisan,1466 ,岩手県,東北,39.8516288,140.8963659,八幡平市,,,,,
東根山,東根山　　岩手県,あずまねさん,Azumanesan,928 ,岩手県,東北,39.587139,141.0595303,紫波町,,,,,
駒ヶ岳 ,駒ヶ岳 　　岩手県,こまがたけ,Komagatake,1130 ,岩手県,東北,39.1955404,140.9198025,北上市,,,,,
物見山,物見山　　岩手県,ものみやま,Monomiyama,870 ,岩手県,東北,39.3201651,141.1933208,住田町,,,,,
牛形山,牛形山　　岩手県,うしがたやま,Ushigatayama,1340 ,岩手県,東北,39.2016583,140.8590471,西和賀町,,,,,
蔵王(刈田岳),蔵王(刈田岳)　　宮城県,みやぎざおう（かつただけ）,zaou (Katsutadake),1758 ,宮城県,東北,38.127888,140.4480739,蔵王町,,,,,
栗駒山,栗駒山　　宮城県,くりこまやま,Kurikomayama,1626 ,宮城県,東北,38.960983,140.7880723,栗原市,,,,,
泉ヶ岳,泉ヶ岳　　宮城県,いずみがたけ,Izumigatake,1175 ,宮城県,東北,38.4122231,140.7088189,仙台市泉区,,,,,
大東岳,大東岳　　宮城県,だいとうだけ,Daitoudake,1365 ,宮城県,東北,38.3019179,140.5234857,仙台市太白区,,,,,
神室岳,神室岳　　宮城県,かむろだけ,Kamurodake,1356 ,宮城県,東北,38.2557718,140.4864158,川崎町,,,,,
屏風岳,屏風岳　　宮城県,"びょうぶだけ
",Byoubudake,1825 ,宮城県,東北,38.095648,140.475999,蔵王町,,,,,
徳仙丈山,徳仙丈山　　宮城県,とくせんじょうさん,Tokusenjyousan,711 ,宮城県,東北,38.8484199,141.4697982,気仙沼市,,,,,
